qt;choice-1;choice-2;choice-3;choice-4
2;second-3;second-4;second-1;second-2
3;second-4;second-2;second-1;second-3
3;second-3;second-2;second-4;second-1
2;second-2;second-3;second-4;second-1
2;second-1;second-2;second-4;second-3
2;second-4;second-2;second-1;second-3
3;second-2;second-4;second-1;second-3
3;second-2;second-3;second-4;second-1
3;second-2;second-4;second-1;second-3
3;second-1;second-4;second-2;second-3
3;second-3;second-2;second-4;second-1
2;second-4;second-3;second-2;second-1
2;second-3;second-1;second-4;second-2
3;second-1;second-3;second-4;second-2
2;second-3;second-1;second-2;second-4
2;second-4;second-1;second-2;second-3
2;second-2;second-3;second-1;second-4
2;second-1;second-3;second-2;second-4
1;second-3;second-4;second-2;second-1
2;second-1;second-2;second-4;second-3
2;second-3;second-2;second-4;second-1
1;second-4;second-3;second-1;second-2
1;second-4;second-1;second-3;second-2
2;second-4;second-1;second-3;second-2
1;second-2;second-4;second-1;second-3
3;second-4;second-3;second-1;second-2
2;second-1;second-3;second-4;second-2
3;second-4;second-2;second-3;second-1
3;second-3;second-2;second-4;second-1
2;second-3;second-1;second-2;second-4
2;second-4;second-3;second-1;second-2
1;second-3;second-4;second-1;second-2
2;second-2;second-3;second-4;second-1
2;second-4;second-3;second-2;second-1
2;second-3;second-4;second-2;second-1
3;second-2;second-3;second-4;second-1
2;second-3;second-1;second-2;second-4
2;second-1;second-2;second-3;second-4
3;second-2;second-1;second-4;second-3
3;second-4;second-2;second-1;second-3
2;second-1;second-4;second-2;second-3
3;second-3;second-2;second-4;second-1
3;second-2;second-1;second-3;second-4
3;second-2;second-4;second-1;second-3
2;second-4;second-3;second-1;second-2
3;second-1;second-4;second-2;second-3
3;second-1;second-3;second-2;second-4
3;second-2;second-4;second-3;second-1
2;second-3;second-4;second-1;second-2
2;second-4;second-3;second-2;second-1
1;second-1;second-4;second-3;second-2
1;second-3;second-4;second-2;second-1
1;second-4;second-2;second-1;second-3
1;second-3;second-4;second-2;second-1
1;second-1;second-3;second-4;second-2
2;second-2;second-4;second-3;second-1
3;second-3;second-2;second-4;second-1
3;second-2;second-3;second-1;second-4
2;second-3;second-1;second-4;second-2
3;second-2;second-4;second-3;second-1
3;second-4;second-2;second-1;second-3
3;second-2;second-4;second-3;second-1
2;second-3;second-2;second-1;second-4
3;second-1;second-2;second-4;second-3
1;second-4;second-2;second-3;second-1
3;second-1;second-4;second-2;second-3
2;second-1;second-3;second-4;second-2
1;second-3;second-4;second-1;second-2
3;second-3;second-4;second-1;second-2
2;second-2;second-1;second-4;second-3
1;second-3;second-4;second-1;second-2
3;second-3;second-1;second-2;second-4
1;second-4;second-1;second-3;second-2
1;second-1;second-2;second-4;second-3
3;second-2;second-3;second-1;second-4
2;second-2;second-4;second-1;second-3
1;second-1;second-3;second-4;second-2
1;second-1;second-3;second-2;second-4
2;second-2;second-1;second-4;second-3
2;second-2;second-4;second-3;second-1
2;second-2;second-1;second-3;second-4
1;second-1;second-3;second-2;second-4
3;second-3;second-1;second-2;second-4
2;second-1;second-4;second-2;second-3
2;second-3;second-1;second-4;second-2
3;second-2;second-3;second-4;second-1
2;second-2;second-3;second-1;second-4
3;second-4;second-2;second-3;second-1
1;second-4;second-2;second-3;second-1
2;second-2;second-4;second-1;second-3
2;second-4;second-2;second-1;second-3
2;second-2;second-4;second-3;second-1
1;second-2;second-3;second-4;second-1
2;second-1;second-2;second-3;second-4
3;second-3;second-2;second-1;second-4
1;second-1;second-2;second-4;second-3
3;second-4;second-2;second-1;second-3
3;second-3;second-1;second-4;second-2
2;second-1;second-4;second-3;second-2
1;second-2;second-1;second-3;second-4
2;second-4;second-3;second-2;second-1
3;second-4;second-1;second-3;second-2
1;second-1;second-2;second-3;second-4
1;second-3;second-2;second-1;second-4
3;second-2;second-1;second-4;second-3
3;second-3;second-4;second-2;second-1
2;second-4;second-1;second-2;second-3
3;second-1;second-2;second-4;second-3
1;second-3;second-1;second-2;second-4
3;second-2;second-1;second-4;second-3
3;second-3;second-4;second-2;second-1
2;second-3;second-1;second-2;second-4
2;second-3;second-4;second-1;second-2
1;second-2;second-3;second-4;second-1
2;second-1;second-3;second-4;second-2
1;second-1;second-3;second-4;second-2
1;second-2;second-1;second-4;second-3
2;second-1;second-3;second-4;second-2
1;second-2;second-1;second-3;second-4
2;second-4;second-3;second-2;second-1
3;second-1;second-2;second-4;second-3
2;second-3;second-4;second-2;second-1
3;second-3;second-2;second-4;second-1
1;second-2;second-3;second-1;second-4
1;second-1;second-3;second-2;second-4
2;second-3;second-1;second-4;second-2
1;second-1;second-4;second-2;second-3
3;second-3;second-2;second-1;second-4
1;second-2;second-1;second-4;second-3
2;second-1;second-3;second-4;second-2
1;second-4;second-1;second-3;second-2
1;second-4;second-3;second-2;second-1
2;second-3;second-1;second-2;second-4
1;second-4;second-2;second-3;second-1
1;second-1;second-4;second-3;second-2
3;second-4;second-2;second-1;second-3
3;second-3;second-2;second-4;second-1
2;second-1;second-4;second-3;second-2
3;second-3;second-1;second-2;second-4
1;second-4;second-1;second-2;second-3
2;second-3;second-2;second-4;second-1
3;second-2;second-1;second-4;second-3
2;second-1;second-2;second-4;second-3
3;second-2;second-1;second-3;second-4
1;second-3;second-4;second-1;second-2
1;second-4;second-1;second-3;second-2
1;second-3;second-1;second-2;second-4
3;second-1;second-2;second-4;second-3
2;second-1;second-2;second-4;second-3
2;second-3;second-1;second-2;second-4
2;second-4;second-1;second-3;second-2
1;second-3;second-2;second-1;second-4
3;second-2;second-1;second-3;second-4
2;second-3;second-4;second-2;second-1
2;second-1;second-4;second-3;second-2
2;second-4;second-2;second-1;second-3
1;second-2;second-4;second-1;second-3
2;second-4;second-3;second-2;second-1
1;second-2;second-3;second-4;second-1
3;second-3;second-1;second-4;second-2
3;second-3;second-2;second-4;second-1
1;second-3;second-1;second-2;second-4
1;second-2;second-1;second-3;second-4
2;second-4;second-3;second-2;second-1
1;second-3;second-1;second-4;second-2
3;second-3;second-4;second-2;second-1
3;second-2;second-4;second-3;second-1
1;second-4;second-3;second-1;second-2
2;second-2;second-1;second-3;second-4
1;second-3;second-2;second-4;second-1
3;second-1;second-4;second-3;second-2
3;second-4;second-1;second-2;second-3
1;second-2;second-4;second-1;second-3
2;second-2;second-3;second-4;second-1
1;second-2;second-1;second-4;second-3
3;second-2;second-4;second-3;second-1
2;second-4;second-1;second-3;second-2
2;second-1;second-3;second-4;second-2
2;second-4;second-3;second-1;second-2
2;second-1;second-4;second-2;second-3
2;second-2;second-3;second-4;second-1
1;second-3;second-2;second-1;second-4
1;second-4;second-2;second-3;second-1
3;second-3;second-2;second-4;second-1
3;second-3;second-1;second-4;second-2
3;second-3;second-1;second-2;second-4
2;second-2;second-1;second-4;second-3
2;second-1;second-2;second-3;second-4
3;second-2;second-4;second-3;second-1
2;second-3;second-1;second-2;second-4
2;second-3;second-4;second-2;second-1
1;second-1;second-4;second-3;second-2
3;second-4;second-1;second-3;second-2
3;second-1;second-3;second-2;second-4
1;second-1;second-4;second-2;second-3
1;second-1;second-2;second-3;second-4
3;second-1;second-2;second-3;second-4
1;second-4;second-1;second-2;second-3
3;second-1;second-4;second-2;second-3
1;second-2;second-4;second-1;second-3
1;second-1;second-2;second-3;second-4
3;second-1;second-4;second-3;second-2
3;second-2;second-4;second-3;second-1
1;second-4;second-3;second-2;second-1
1;second-4;second-1;second-2;second-3
2;second-2;second-1;second-4;second-3
2;second-1;second-4;second-2;second-3
2;second-2;second-4;second-1;second-3
2;second-2;second-3;second-1;second-4
3;second-1;second-4;second-2;second-3
3;second-3;second-4;second-1;second-2
2;second-4;second-3;second-1;second-2
2;second-1;second-2;second-3;second-4
1;second-3;second-4;second-2;second-1
2;second-1;second-3;second-2;second-4
3;second-2;second-3;second-1;second-4
3;second-3;second-1;second-4;second-2
2;second-1;second-3;second-4;second-2
3;second-1;second-2;second-3;second-4
2;second-1;second-3;second-4;second-2
2;second-2;second-4;second-1;second-3
3;second-1;second-3;second-2;second-4
2;second-4;second-1;second-3;second-2
1;second-3;second-4;second-1;second-2
2;second-1;second-4;second-2;second-3
