qt;choice-1;choice-2;choice-3;choice-4
2;first-4;first-3;first-1;first-2
3;first-3;first-4;first-2;first-1
1;first-2;first-4;first-1;first-3
3;first-2;first-4;first-1;first-3
2;first-4;first-3;first-1;first-2
2;first-4;first-2;first-3;first-1
1;first-3;first-4;first-1;first-2
1;first-4;first-3;first-2;first-1
3;first-4;first-2;first-1;first-3
2;first-1;first-2;first-3;first-4
3;first-2;first-3;first-1;first-4
2;first-1;first-3;first-4;first-2
2;first-3;first-4;first-2;first-1
1;first-4;first-2;first-1;first-3
3;first-4;first-3;first-2;first-1
3;first-1;first-3;first-4;first-2
3;first-1;first-4;first-3;first-2
2;first-2;first-1;first-3;first-4
3;first-2;first-3;first-1;first-4
3;first-2;first-1;first-3;first-4
2;first-1;first-2;first-4;first-3
1;first-1;first-4;first-3;first-2
1;first-4;first-3;first-1;first-2
1;first-4;first-3;first-1;first-2
3;first-4;first-3;first-2;first-1
2;first-2;first-3;first-1;first-4
3;first-3;first-1;first-2;first-4
1;first-2;first-3;first-4;first-1
2;first-2;first-3;first-4;first-1
1;first-1;first-4;first-2;first-3
3;first-2;first-3;first-1;first-4
1;first-4;first-1;first-3;first-2
3;first-3;first-1;first-2;first-4
1;first-3;first-2;first-1;first-4
1;first-2;first-4;first-1;first-3
1;first-3;first-1;first-2;first-4
3;first-2;first-1;first-3;first-4
1;first-3;first-1;first-2;first-4
1;first-3;first-1;first-2;first-4
3;first-1;first-3;first-4;first-2
2;first-2;first-1;first-4;first-3
2;first-1;first-4;first-3;first-2
3;first-4;first-3;first-2;first-1
2;first-1;first-3;first-2;first-4
2;first-1;first-2;first-3;first-4
3;first-3;first-2;first-1;first-4
3;first-4;first-1;first-3;first-2
2;first-3;first-1;first-2;first-4
2;first-4;first-1;first-3;first-2
2;first-4;first-1;first-2;first-3
1;first-4;first-1;first-2;first-3
3;first-3;first-1;first-4;first-2
1;first-1;first-4;first-3;first-2
2;first-2;first-1;first-4;first-3
1;first-3;first-4;first-1;first-2
3;first-4;first-3;first-2;first-1
2;first-2;first-1;first-4;first-3
1;first-2;first-4;first-1;first-3
2;first-1;first-4;first-3;first-2
2;first-3;first-4;first-2;first-1
1;first-2;first-1;first-3;first-4
1;first-3;first-4;first-1;first-2
2;first-3;first-1;first-4;first-2
3;first-2;first-3;first-1;first-4
2;first-4;first-2;first-3;first-1
3;first-3;first-4;first-2;first-1
2;first-1;first-2;first-3;first-4
2;first-1;first-3;first-2;first-4
3;first-4;first-3;first-1;first-2
2;first-1;first-4;first-2;first-3
3;first-4;first-3;first-2;first-1
3;first-3;first-1;first-4;first-2
1;first-1;first-3;first-4;first-2
2;first-2;first-4;first-3;first-1
3;first-2;first-4;first-1;first-3
1;first-2;first-1;first-3;first-4
2;first-4;first-3;first-1;first-2
2;first-1;first-2;first-3;first-4
3;first-2;first-1;first-3;first-4
2;first-1;first-2;first-4;first-3
3;first-4;first-2;first-1;first-3
1;first-2;first-1;first-4;first-3
2;first-3;first-1;first-2;first-4
2;first-1;first-3;first-2;first-4
2;first-3;first-1;first-4;first-2
3;first-3;first-1;first-2;first-4
2;first-2;first-3;first-4;first-1
1;first-3;first-1;first-2;first-4
1;first-1;first-2;first-4;first-3
1;first-3;first-2;first-4;first-1
2;first-1;first-3;first-2;first-4
3;first-4;first-3;first-1;first-2
2;first-3;first-1;first-4;first-2
1;first-4;first-3;first-2;first-1
2;first-1;first-3;first-2;first-4
2;first-3;first-4;first-1;first-2
2;first-2;first-4;first-3;first-1
1;first-3;first-1;first-4;first-2
2;first-2;first-3;first-4;first-1
2;first-2;first-3;first-4;first-1
3;first-1;first-4;first-2;first-3
2;first-1;first-4;first-3;first-2
3;first-2;first-1;first-4;first-3
2;first-1;first-2;first-3;first-4
2;first-2;first-1;first-3;first-4
1;first-1;first-3;first-2;first-4
1;first-3;first-2;first-1;first-4
3;first-4;first-3;first-1;first-2
3;first-2;first-3;first-1;first-4
1;first-2;first-4;first-1;first-3
2;first-3;first-1;first-2;first-4
1;first-3;first-2;first-4;first-1
3;first-1;first-4;first-3;first-2
1;first-2;first-1;first-4;first-3
2;first-4;first-2;first-1;first-3
2;first-3;first-4;first-2;first-1
1;first-2;first-3;first-1;first-4
3;first-4;first-2;first-3;first-1
3;first-4;first-1;first-2;first-3
3;first-2;first-1;first-4;first-3
1;first-1;first-3;first-2;first-4
3;first-2;first-3;first-4;first-1
3;first-2;first-1;first-3;first-4
2;first-4;first-3;first-1;first-2
2;first-2;first-1;first-3;first-4
1;first-2;first-4;first-1;first-3
2;first-3;first-2;first-4;first-1
3;first-1;first-3;first-4;first-2
1;first-3;first-4;first-1;first-2
3;first-1;first-2;first-3;first-4
3;first-1;first-2;first-3;first-4
3;first-4;first-3;first-2;first-1
1;first-3;first-1;first-2;first-4
2;first-3;first-1;first-2;first-4
2;first-3;first-1;first-2;first-4
1;first-2;first-4;first-1;first-3
2;first-3;first-1;first-2;first-4
3;first-4;first-3;first-2;first-1
1;first-2;first-1;first-3;first-4
1;first-3;first-2;first-1;first-4
2;first-4;first-1;first-2;first-3
3;first-1;first-3;first-4;first-2
2;first-2;first-1;first-3;first-4
1;first-2;first-4;first-1;first-3
3;first-1;first-2;first-4;first-3
2;first-4;first-2;first-3;first-1
3;first-3;first-2;first-4;first-1
2;first-2;first-3;first-1;first-4
3;first-3;first-4;first-1;first-2
1;first-1;first-4;first-3;first-2
3;first-1;first-4;first-3;first-2
2;first-3;first-1;first-4;first-2
3;first-3;first-1;first-4;first-2
3;first-4;first-1;first-3;first-2
1;first-3;first-1;first-2;first-4
3;first-2;first-3;first-1;first-4
3;first-3;first-4;first-2;first-1
2;first-2;first-1;first-3;first-4
3;first-3;first-4;first-2;first-1
2;first-2;first-3;first-4;first-1
2;first-3;first-4;first-2;first-1
1;first-4;first-2;first-3;first-1
1;first-3;first-4;first-2;first-1
2;first-3;first-2;first-4;first-1
1;first-1;first-4;first-3;first-2
1;first-1;first-4;first-3;first-2
3;first-3;first-4;first-2;first-1
3;first-1;first-2;first-3;first-4
3;first-1;first-4;first-2;first-3
3;first-2;first-4;first-3;first-1
3;first-1;first-4;first-3;first-2
3;first-2;first-4;first-1;first-3
1;first-3;first-1;first-2;first-4
2;first-1;first-4;first-3;first-2
1;first-3;first-2;first-1;first-4
3;first-2;first-1;first-3;first-4
2;first-4;first-3;first-2;first-1
1;first-4;first-1;first-3;first-2
2;first-4;first-2;first-1;first-3
3;first-3;first-2;first-1;first-4
3;first-2;first-3;first-4;first-1
3;first-4;first-1;first-3;first-2
3;first-3;first-4;first-1;first-2
2;first-3;first-2;first-4;first-1
1;first-2;first-4;first-3;first-1
1;first-1;first-2;first-4;first-3
3;first-3;first-4;first-1;first-2
3;first-1;first-3;first-4;first-2
1;first-4;first-1;first-3;first-2
3;first-1;first-4;first-3;first-2
3;first-1;first-3;first-2;first-4
3;first-3;first-4;first-2;first-1
1;first-3;first-1;first-4;first-2
2;first-1;first-3;first-2;first-4
2;first-1;first-2;first-4;first-3
1;first-1;first-2;first-3;first-4
1;first-4;first-2;first-3;first-1
2;first-3;first-1;first-2;first-4
1;first-4;first-2;first-3;first-1
3;first-2;first-1;first-3;first-4
1;first-2;first-4;first-3;first-1
1;first-4;first-3;first-2;first-1
2;first-1;first-4;first-2;first-3
1;first-2;first-1;first-4;first-3
2;first-1;first-3;first-4;first-2
1;first-4;first-2;first-3;first-1
2;first-3;first-1;first-2;first-4
1;first-2;first-4;first-1;first-3
1;first-1;first-3;first-4;first-2
1;first-1;first-3;first-2;first-4
2;first-2;first-1;first-3;first-4
2;first-4;first-3;first-1;first-2
3;first-4;first-1;first-2;first-3
2;first-2;first-1;first-4;first-3
3;first-2;first-1;first-4;first-3
3;first-1;first-2;first-4;first-3
2;first-3;first-2;first-4;first-1
3;first-3;first-1;first-4;first-2
3;first-3;first-1;first-2;first-4
2;first-2;first-4;first-3;first-1
1;first-2;first-3;first-4;first-1
1;first-3;first-2;first-1;first-4
1;first-3;first-4;first-2;first-1
1;first-2;first-4;first-1;first-3
1;first-3;first-4;first-1;first-2
